domain,text_extraction_success,total_text_length,total_links_found,pages_scraped,scraping_time,scraping_error,ai_analysis_success,ai_selected_pages,ai_processing_time
workparty.ca,True,537,0,1,1.8061761856079102,,False,,0
everbrave.ca,True,77,0,1,1.5338242053985596,,False,,0
simplifytheinternet.com,True,43,0,1,1.7229456901550293,,False,,0
greenhousemarketing.ca,False,0,0,0,2.5752663612365723,,False,,0
aasman.ca,True,265,2,1,2.0485804080963135,,False,,0
digitalshiftmedia.com,False,0,0,0,0.9329652786254883,,False,,0
victorymedia.ca,True,5571,1,1,2.604933261871338,,False,,0
gustinquon.com,True,66,0,1,2.2684667110443115,,False,,0
macraes.com,True,56,0,1,1.902010202407837,,False,,0
nimiopere.com,True,0,0,1,2.8360867500305176,,False,,0
comgroup.com,True,70,0,1,2.5590097904205322,,False,,0
ignitedigital.com,False,0,0,0,1.4167554378509521,,False,,0
bigfishcreative.ca,True,54,0,1,3.341386318206787,,False,,0
retailorsgroup.com,True,54,0,1,2.1833255290985107,,False,,0
polkarsenal.com,True,463,20,1,4.1786112785339355,,False,,0
gurucom.ca,True,7747,0,1,3.682931423187256,,False,,0
mkmedia.biz,True,629,15,1,4.166303873062134,,False,,0
buzzmarketing.ca,True,0,0,1,2.924516201019287,,False,,0
clearmotive.ca,True,17880,54,5,4.256226301193237,,False,,0
healthwisecreative.com,True,2375,16,3,4.384758234024048,,False,,0
magnetisauto.ca,True,1451,2,1,4.556832551956177,,False,,0
altitudestrategies.ca,True,73,0,1,6.728621006011963,,False,,0
stryvemarketing.com,True,3933,117,6,6.4923415184021,,False,,0
zedlagence.com,True,1667,32,2,10.38903546333313,,False,,0
onenetinc.com,True,2922,27,3,9.905985832214355,,False,,0
involvedmedia.ca,True,10925,140,7,7.597532749176025,,False,,0
acteam.ca,True,11419,65,7,7.0377092361450195,,False,,0
cumberland.college,True,63,0,1,7.658315181732178,,False,,0
industrybay.us,True,1497,20,1,7.151511192321777,,False,,0
kickpoint.ca,True,31257,100,8,8.314981460571289,,False,,0
kiplingmedia.com,True,30439,104,14,9.589773654937744,,False,,0
adhomecreative.com,True,2254,33,4,8.399099111557007,,False,,0
shiftmarketing.io,True,2660,26,2,8.213330745697021,,False,,0
strutcreative.com,True,36616,135,11,9.221842527389526,,False,,0
vumedia.ca,True,2459,39,3,9.479827880859375,,False,,0
visionnairefutures.com,True,1348,52,4,10.95579218864441,,False,,0
stylelabs.ca,True,15792,40,2,9.98030686378479,,False,,0
dunhamweb.com,True,29198,177,9,13.088783025741577,,False,,0
theog.co,True,13498,75,6,13.995419263839722,,False,,0
keygordon.com,True,12616,168,10,12.724306344985962,,False,,0
cleansheet.ca,True,234,24,3,13.241195917129517,,False,,0
ontarioseo.ca,True,1049,28,2,13.674647331237793,,False,,0
dg.agency,True,55891,220,11,14.31970500946045,,False,,0
