region,location,keyword,category,results_count,timestamp
czech_republic,Czech Republic,military history club,global_english,29,2025-11-11T12:05:14.717359
czech_republic,Czech Republic,klub vojenske historie,local_czech,21,2025-11-11T12:05:00.547853
czech_republic,Czech Republic,vojenska historie,local_czech,13,2025-11-11T12:04:55.889334
czech_republic,Czech Republic,klub historii wojskowej ZSRR,local_polish,8,2025-11-11T12:04:44.393607
czech_republic,Czech Republic,cold war reenactment,war_periods,4,2025-11-11T12:05:39.768532
czech_republic,Czech Republic,historicka rekonstrukce,local_czech,2,2025-11-11T12:04:53.530926
czech_republic,Czech Republic,red army reenactment,global_english,2,2025-11-11T12:05:07.466469
czech_republic,Czech Republic,soviet military enthusiasts,global_english,2,2025-11-11T12:05:19.300889
czech_republic,Czech Republic,USSR history club,specific_soviet,2,2025-11-11T12:05:28.479132
czech_republic,Czech Republic,soviet military equipment,specific_soviet,2,2025-11-11T12:05:30.814711
czech_republic,Czech Republic,world war 2 reenactment,war_periods,2,2025-11-11T12:05:37.490323
czech_republic,Czech Republic,great patriotic war,war_periods,2,2025-11-11T12:05:46.825651
czech_republic,Czech Republic,stowarzyszenie historyczne,local_polish,1,2025-11-11T12:04:51.180439
czech_republic,Czech Republic,red army society,specific_soviet,1,2025-11-11T12:05:26.192456
czech_republic,Czech Republic,soviet military history,war_periods,1,2025-11-11T12:05:42.167219
czech_republic,Czech Republic,second world war soviet,war_periods,1,2025-11-11T12:05:49.197418
czech_republic,Czech Republic,klub rekonstrukcji historycznej,local_polish,0,2025-11-11T12:04:39.907502
czech_republic,Czech Republic,rekonstrukcja armii radzieckiej,local_polish,0,2025-11-11T12:04:42.091330
czech_republic,Czech Republic,rekonstrukcja wojskowa,local_polish,0,2025-11-11T12:04:46.627338
czech_republic,Czech Republic,grupa rekonstrukcyjna,local_polish,0,2025-11-11T12:04:48.839672
czech_republic,Czech Republic,rekonstrukcni skupina,local_czech,0,2025-11-11T12:05:02.828552
czech_republic,Czech Republic,soviet reenactment club,global_english,0,2025-11-11T12:05:05.114032
czech_republic,Czech Republic,ww2 soviet reenactment,global_english,0,2025-11-11T12:05:09.785923
czech_republic,Czech Republic,historical reenactment society,global_english,0,2025-11-11T12:05:16.960055
czech_republic,Czech Republic,eastern front reenactment,global_english,0,2025-11-11T12:05:21.568542
czech_republic,Czech Republic,soviet army club,specific_soviet,0,2025-11-11T12:05:23.813817
czech_republic,Czech Republic,soviet uniforms,specific_soviet,0,2025-11-11T12:05:33.020499
czech_republic,Czech Republic,soviet tanks club,specific_soviet,0,2025-11-11T12:05:35.216157
czech_republic,Czech Republic,ww2 eastern front,war_periods,0,2025-11-11T12:05:44.453673
czech_republic,Czech Republic,afghan war reenactment,specific_conflicts,0,2025-11-11T12:05:51.523969
czech_republic,Czech Republic,afghanistan soviet war,specific_conflicts,0,2025-11-11T12:05:53.851426
czech_republic,Czech Republic,chechen war reenactment,specific_conflicts,0,2025-11-11T12:05:56.102243
czech_republic,Czech Republic,soviet afghanistan veterans,specific_conflicts,0,2025-11-11T12:05:58.363293
poland,Poland,military history club,global_english,29,2025-11-11T12:03:51.091647
poland,Poland,soviet military history,war_periods,21,2025-11-11T12:04:21.397518
poland,Poland,klub historii wojskowej ZSRR,local_polish,9,2025-11-11T12:03:22.880909
poland,Poland,soviet military equipment,specific_soviet,7,2025-11-11T12:04:07.430330
poland,Poland,klub rekonstrukcji historycznej,local_polish,6,2025-11-11T12:03:18.321230
poland,Poland,stowarzyszenie historyczne,local_polish,6,2025-11-11T12:03:29.774355
poland,Poland,vojenska historie,local_czech,6,2025-11-11T12:03:34.308233
poland,Poland,great patriotic war,war_periods,4,2025-11-11T12:04:25.939928
poland,Poland,red army reenactment,global_english,3,2025-11-11T12:03:43.931899
poland,Poland,USSR history club,specific_soviet,3,2025-11-11T12:04:05.136968
poland,Poland,klub vojenske historie,local_czech,2,2025-11-11T12:03:36.693691
poland,Poland,rekonstrukcni skupina,local_czech,2,2025-11-11T12:03:39.356696
poland,Poland,historical reenactment society,global_english,2,2025-11-11T12:03:53.373062
poland,Poland,soviet military enthusiasts,global_english,2,2025-11-11T12:03:55.668179
poland,Poland,cold war reenactment,war_periods,2,2025-11-11T12:04:16.539148
poland,Poland,rekonstrukcja wojskowa,local_polish,1,2025-11-11T12:03:25.169975
poland,Poland,grupa rekonstrukcyjna,local_polish,1,2025-11-11T12:03:27.477167
poland,Poland,soviet army club,specific_soviet,1,2025-11-11T12:04:00.355078
poland,Poland,red army society,specific_soviet,1,2025-11-11T12:04:02.841687
poland,Poland,soviet uniforms,specific_soviet,1,2025-11-11T12:04:09.746325
poland,Poland,world war 2 reenactment,war_periods,1,2025-11-11T12:04:14.265842
poland,Poland,second world war soviet,war_periods,1,2025-11-11T12:04:28.533695
poland,Poland,rekonstrukcja armii radzieckiej,local_polish,0,2025-11-11T12:03:20.516540
poland,Poland,historicka rekonstrukce,local_czech,0,2025-11-11T12:03:32.022764
poland,Poland,soviet reenactment club,global_english,0,2025-11-11T12:03:41.571827
poland,Poland,ww2 soviet reenactment,global_english,0,2025-11-11T12:03:46.226623
poland,Poland,eastern front reenactment,global_english,0,2025-11-11T12:03:58.031522
poland,Poland,soviet tanks club,specific_soviet,0,2025-11-11T12:04:11.962458
poland,Poland,ww2 eastern front,war_periods,0,2025-11-11T12:04:23.595482
poland,Poland,afghan war reenactment,specific_conflicts,0,2025-11-11T12:04:30.809801
poland,Poland,afghanistan soviet war,specific_conflicts,0,2025-11-11T12:04:33.148426
poland,Poland,chechen war reenactment,specific_conflicts,0,2025-11-11T12:04:35.422907
poland,Poland,soviet afghanistan veterans,specific_conflicts,0,2025-11-11T12:04:37.712723
